Screen Name, Description, User ID, Followers Count 
OfficialIJG, "Official #author of #ForbiddenGames #entrepreneur #marketingstrategies", 725869986082775040, 12752 
PLUSMediaNYC, "Brand Experts and Curators of Shareworthy Content.
https://t.co/NuJSuAD1Du", 2753056286, 6938 
brendalafond, "NOTHING pretty about smoking until NOW!! Hide those ugly generic brands with our hand crafted smoke boxes", 1546675226, 972 
elementanalytic, "Predictive Analytics for Industry", 3173256866, 155 
mmartiniere, "Geek, hacker, and outdoor enthusiast. Director of Community @fictiv. I write about #hardware, the maker movement, and democratization of technology.", 17339650, 1869 
Sven_Heinemann, "Digital Media Manager @SafranIDSec. #SocialMedia #B2B #OnlineMarketing #Digital « Opinions/Tweets are my own ».", 533463232, 502 
FeedbackDave, "Founder of @withinreachsw & @paycompliment My #Feedback page is https://t.co/w6Xl7WBGZW How can I improve? #lifelonglearning #leadership", 718285326784053249, 554 
Dikka10, "Life is about being healthy&having best time with my friends, fine dining & enjoy travel. Doctor of Medicine working in Clinical Research Sydney Australia", 106591383, 1348 
chemicals_shop, "", 776508361143619585, 2 
MastroTek, "MastroTek is a Web Site Design and Website services company serving the Westchester, NY Area. We also offer Remote IT services through MastroTek IT Services", 275115954, 1052 
IndustriNorge, "Vi følger nyhetene. Ledige #stillinger: @JobSearchNO #Industri #Norge #Norway #jobb", 2616963234, 15647 
JeffLizik, "I help marketers & marketing teams tackle digital marketing and SEO challenges. SEO Consultant - Content Strategist - Lead Generation", 14379514, 23191 
DavidDelarosamu, "Página Oficial de DelaRosa en Twitter. Nuevo single  Cada Beso. YA DISPONIBLE EN TODAS LAS PLATAFORMAS DIGITALES", 4652410761, 1204 
carmspinto3194b, "23.Catholic|simplemente viví al máximo, se vos mismo y no seas normal  ;)| hincha eterna de Alianza FC y CARP|Bollywood| 😜", 46184752, 2810 
leasingatPure, "Honest advice and fantastic prices on business or personal #leasing #newcar - Free nationwide delivery / Call - 0330 113 1000 info@purevehicleleasing.co.uk", 774569838383595520, 23 
WebHubB2B, "https://t.co/qwRPCxOCV6 folks will post about using the https://t.co/qwRPCxOCV6 multi-share feature for anyone to use to improve their social media marketing", 758682285038272512, 177 
BalHarbourHouse, "Arts & Culture Design & Architecture Entertainment Fashion & Beauty Humor Food & Drink Lifestyle Personalities Real Estate", 776245143380828161, 66 
DirnAmd1, "", 773135144060420096, 363 
TuringCloud, "Pride in Productivity", 3242534443, 7266 
Sebastiaan_H, "Internet Marketing Psycholoog en Auteur: Domineer Google! | Tweet over: Online Marketing | SEO | Neuromarketing | Ondernemen | Conversie Optimalisatie | Twitter", 151478997, 35618 
